#,height,body_weight,body_fat_percentage,A_hand,Forearm_length,Upper_arm_length,Foot_length,Crim_length,Thigh_length,Head_and_neck_manager,Cervical_circumference,Upper_brachial_circumference,Front_arm_maximum_enclosure,Upper_chest_circumference,Abdominal_circumference,Femur_circumference,Crim_circumference,Owl_head_lower_edge_height,Shoulder_peak_height
OS002201,170,61.8,17.5,18.3,25.4,29.1,25.3,37,42.1,26,38,27.5,24.3,94.7,84,46.2,36.8,104.1,139
OS002401,170.4,65.3,17.6,19.3,23.7,30.3,24,36.2,40.6,25,38.4,29,25,90.9,79.8,52,39,,
OS002601,180.9,78.9,16.5,18.6,24.9,31.8,25.9,42,43.2,25.6,37.3,30.4,27,95,84.2,60.3,40,102.6,138
OS002701,173.8,67.4,18.4,19.6,25.4,28.7,25,38.3,38.6,27.4,38.5,29.8,27.3,96,79.5,53,35,112.7,141.4
OS002801,151.2,60.3,35.2,16.2,21.2,29.1,21.5,31.5,36.4,23.1,34.7,29.3,22.9,91.2,94,52,35,104.2,136.6
OS003001,170.6,58.8,17.6,18.4,23,29,25.5,34.9,40.3,26.1,36,27.1,26.4,87.9,78.7,54.7,35.5,105.8,139.3
OS003201,173.2,70.7,14.7,19.4,24.8,29,24.8,37.1,42.5,24.8,37.2,28.2,27.2,95.7,89.7,54.7,36,108,141.3
OS003301,165,61.4,20,17.5,24.2,28.5,23.2,36.8,38.9,22.4,38.2,23.8,23.6,91,88.2,50,36.3,102.1,135.1
OS003601,172,68.9,18.3,18.4,24.5,32.5,25.2,39,44,23.7,40.7,27,25,96.8,85.5,56,39.5,103.8,141.2
OS003701,167.5,68.1,23.2,18.3,23.5,29,23.4,36.2,39.5,25.2,39.7,29,27,97.4,92,55,39.5,105,136.1
OS004001,155.3,55.2,14.6,19,23.4,28.1,23.5,34.3,38.9,23,37,26,24,85,79,46.7,32,95.2,129.1
OS004101,157.5,59.2,23.5,18.4,23.4,28.1,23.5,35.5,36.5,22.6,37,,23.3,92,96,45,35,94.8,126.8
OS004201,150,52.6,29.3,16.9,20.8,27.9,21,35,38.9,21.5,32.2,26,23,88,87,49.8,32.2,90,119.6
OS004301,146.8,52.9,31.7,17.3,21.2,27.2,24,34.5,39.6,23,33,26.7,21,88.1,99.5,51.7,30.8,87.8,118.9
OS004401,160.8,52.2,15.1,17.2,23.9,29,24,33.6,43,26,36,27,24,85,75.5,45.5,33,97,130.4
OS004501,163.5,68,23.5,18.8,25,31.8,26,37.2,44.4,23,41,29,27,95,99.5,52,35,99.4,133.4
OS004601,148.8,52,29.9,16.8,21.5,28.1,23,32.2,42.9,23.3,32.1,26.1,21,89.8,80,51.1,33.7,87.4,119
OS004701,152.9,67.5,43.7,16.5,21.8,30,23.8,33.9,41.3,21.2,37,33.5,24,104.2,108,47.6,34,94.6,126.3
OS004801,162.9,65.5,24.9,18,25,31.8,24,37.4,41.2,23.6,38,26.4,26.1,95,90.5,42,36,104.1,137.4
OS004901,168,74.8,21.7,18.4,24.2,31.2,24,35.4,49.4,25.1,41,30,27.5,98.5,100,46,37,101.7,134.7
OS005001,144.5,50.2,35.3,16.5,20.2,27.2,21.5,34,35.7,21.1,33.1,30.1,21.4,88,87.5,44.1,31,89.4,119.5
OS005101,143.8,58.4,36.7,16.3,21.2,27.5,22,33,36.7,21.2,34,27.7,25,95,90.5,46,36.2,84.3,115
OS005201,160.6,53.8,21.3,18.1,23.3,29.5,24,34.4,43,23.2,36,26,23,90,80,49,31,97,130.8
OS005301,156.7,59.6,20.1,18.6,23.3,28.9,24.5,35,42.3,21.8,39.4,27.9,26.2,90.5,93,49.5,33.3,96.7,129.7
OS005401,151.2,54.8,31.4,18,20.5,26.5,23.5,33.4,39.8,25.2,35,29,22.8,88,99,49.5,33,87.8,119
OS005501,152.4,51.2,32.1,17,21.5,27.2,23.7,36.1,38.5,23.7,31.6,28.2,20.5,89.3,76,50.2,31.9,90.8,123.1
OS005601,165.6,56.8,17.8,18.2,24.6,32.1,25,36.5,43.5,21.5,36,24.4,23.7,89,84.7,44,33.3,101.1,138.5
OS005701,164.5,61.1,22,18.6,24.9,30.3,25.5,36.3,45.8,24.6,37.4,25.4,24.8,92.3,83.5,43.3,34,98.9,134.4
OS005801,146.9,58.2,37.1,17,20,27.3,21.3,33.3,34.5,23.4,32,27.6,24.5,87.5,98,48,36,85,117.2
OS005901,150.3,57.3,33.5,17.2,22.2,26.9,22.5,33.1,39.7,23.4,33.2,30.2,24.3,90,88.1,54.5,34.8,95.5,124
OS006001,163.7,66,21.7,,25.8,30.5,24.5,37,38.6,21.6,38,27,25,97,92,50.8,36.6,101,136.4
OS006101,157.8,54.5,20,17,21.8,29.5,23,34.3,37.7,22,36,27.7,24.3,89.4,85.5,47.9,33,95.4,128.9
OS006201,154.4,55.4,27.4,18.3,22.2,28.6,24.5,34.4,40.6,26,34.5,27.8,22.9,92,93.5,47.1,34.1,91,123
OS006301,135,45.3,29.5,15.7,19.2,27.4,20,31.2,38.7,20.2,33,27,22,84.5,83,47,32.2,83.2,110.6
OS006401,165.8,70.8,21.5,18.7,25,31.1,23.8,36.9,45.3,25.1,39,32,26.6,97,96,51.5,38.5,104.2,136.4
OS006501,166.7,63.4,23,19.4,24.1,31.5,24.3,37.9,47.3,25.6,38.5,24.3,23.7,94,89.3,49,36,101.2,138.3
OS006601,145.1,44.4,25.7,15.5,20.3,26.1,20.5,32.4,38.1,23,31.1,25,19.8,80.7,81.6,48.1,31.2,86.1,115.5
OS006701,148.3,49.7,27,16.8,21.7,26.2,22,32.7,38,21.3,30.7,26.3,20,90.2,90.8,44.8,29.7,88.6,119.2
OS006801,166,54.2,12.7,19.5,24.3,33,24.5,40.4,40.6,22.3,36,24.5,22.7,87.9,83,41.5,33.7,105.4,138.4
OS006901,162.5,62.3,19.6,18.5,24,29.5,25.5,38.3,38.5,24,36,28,25,91,87,47,35,101.6,133.3
OS007001,158,55.8,30.2,18,23.6,29.5,23,36.6,43,21.3,35.8,28.8,22,83.5,94,43.5,31,94.8,128.9
OS007101,152.1,45.7,24.8,17.5,22.5,28.4,23.7,34.8,40,24.6,37,23.5,19.7,83.2,89.2,39.5,28.4,92,123.2
OS007201,160.2,56.2,23.7,19.1,23.7,30.8,23.5,36.7,42.3,22.4,38.4,26,23.3,93.7,81.5,46.3,32.3,,
OS007301,164.9,55.2,19.3,19.8,24.8,28.6,25.5,35.9,38.7,24.1,37.5,25.2,24.3,87,82,47,32.3,,
OS007401,166,78.8,24.8,19.5,23.6,28.7,24.5,36.2,42.8,24.9,41,27.2,26.8,107,98.4,54.5,38.6,,
OS007501,156.7,53,19.8,17.6,23,28,23.5,33.7,37.3,25,36,25.5,23,92,90,44.7,32.4,,
OS007601,151.5,55,29.8,17.7,21.2,27.8,22,34.1,37.2,22.2,32.5,28,23.6,88.2,94.1,49.5,33.4,,
OS007701,150.6,62.6,29.7,18.5,22,28.2,22.5,36.4,38.7,20.2,37,31,23,90.5,99,50.5,38.5,,
OS007901,156.3,56.4,17.1,18.7,22.6,29,24,34,41.9,24.1,37.7,28,25,88.7,83,48,34.8,,
OS008001,148.2,55.5,34.8,16.5,21.5,28.4,22,33.2,37.2,24,34.5,23.4,20.5,91.4,93.5,50,32,,
OS008101,151,61.2,35.6,17.3,21.8,28.8,23,33,40.3,23.8,35.7,31.1,25,97.2,101,53.6,35.4,,
OS008201,171.1,69.4,17.1,18.8,25,31.2,25.5,38,42,22.9,38,28,26,92.7,87.5,50.2,36,,
OS008301,160.6,58.8,18.4,16.1,22.7,29.1,23.3,24.9,37.8,24.4,38,26,23,91.5,87.3,47.5,35.8,,
OS008401,154.5,47.4,23.2,17.2,20.3,29.7,22.7,33.4,40.2,25.4,31.5,26.8,21,82.5,85.4,43,29.4,,
OS008501,155.4,50,24.3,16.9,22.5,29.9,23,26.4,40.1,21.8,32,24,20.6,83.8,91,49,32,,
OS008701,162.1,64,26.1,17.2,24.2,31.1,24.5,35.9,43.3,22.9,40,27,25,96,91,50.8,35,,
OS008801,147.7,51.5,30.1,16.5,19,27.5,21.8,32.5,34.5,22,32.8,26,22,89,92,48.5,33,,
OS008901,155,46.2,19.6,18.3,22.7,27.9,22.5,35.3,36.5,23.5,31.5,27.5,23,83,83,46.7,32.6,,
OS009001,158,60,19.4,18.2,23.4,28.5,23.5,34.8,39.9,23.6,37,29,26,92.6,83,52.8,34.7,,
OS009101,168.9,75.4,24.8,18.8,26,32.2,25.5,39.7,42.9,24.7,42.2,29,27,102,94.7,52,37.3,,
OS009201,143.8,42.6,26.4,16.2,21.3,25.7,21.5,32.7,35.6,23.6,30,24.4,20.3,80.8,88.5,42,29,,
OS009301,152.1,50.6,24.6,18.4,21.3,28.5,23,32.6,37.7,24.2,34,29.2,22.5,85,88.2,41,32.8,,
OS009401,150.1,43.1,19.8,17.5,22.1,29,22.5,32.7,36.5,25.7,34,21,21.2,80.7,84,40,31.3,,
OS009501,145.7,44.6,,16.2,20.3,25.2,21,31.9,38.8,24.9,32,25,21.4,75,82.1,47.3,32,,
OS009601,150.5,49.5,27.2,16.1,22.3,28,22,33.3,37.8,24.4,30.6,27.6,20.8,80.8,89.7,50.6,33,,
